Title,US Gross,Worldwide Gross,US DVD Sales,Production Budget,Release Date,Release Year,Recession data,MPAA Rating,Running Time (min),Distributor,Source,Major Genre,Creative Type,Director,Rotten Tomatoes Rating,IMDB Rating,IMDB Votes
Steel,1686429,1686429,,16000000,15/08/1997,1997,0,PG-13,,Warner Bros.,Based on Comic/Graphic Novel,Action,Super Hero,,12,2.7,4409
Sunday,410919,450349,,450000,22/08/1997,1997,0,,,,,Drama,,,79,6.9,436
G.I.Jane,48169156,48169156,,50000000,22/08/1997,1997,0,R,124,Walt Disney Pictures,Original Screenplay,Drama,Contemporary Fiction,Ridley Scott,,5.5,23807
Money Talks,41076865,41076865,,25000000,22/08/1997,1997,0,R,95,New Line,Original Screenplay,Action,Contemporary Fiction,Brett Ratner,17,5.7,8640
The Game,48265581,48265581,,50000000,12/09/1997,1997,0,R,128,Polygram,Original Screenplay,Thriller/Suspense,Contemporary Fiction,David Fincher,80,7.7,74136
In & Out,63826569,83226569,,35000000,19/09/1997,1997,0,PG-13,92,Paramount Pictures,Original Screenplay,Comedy,Contemporary Fiction,Frank Oz,71,6.1,18773
L.A. Confidential,64604977,110604977,,35000000,19/09/1997,1997,0,R,137,Warner Bros.,Based on Book/Short Story,Drama,Historical Fiction,Curtis Hanson,99,8.4,165161
The Peacemaker,41263140,62967368,,50000000,26/09/1997,1997,0,R,123,Dreamworks SKG,Based on Magazine Article,Action,Contemporary Fiction,Mimi Leder,45,5.8,21524
Soul Food,43492389,43492389,,7500000,26/09/1997,1997,0,R,114,20th Century Fox,Original Screenplay,Comedy,Contemporary Fiction,,80,6.4,2636
The Ice Storm,8038061,16011975,,18000000,27/09/1997,1997,0,R,,Fox Searchlight,Based on Book/Short Story,Drama,Historical Fiction,Ang Lee,82,7.5,27544
Kiss the Girls,60527873,60527873,,27000000,03/10/1997,1997,0,R,120,Paramount Pictures,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,,32,6.4,20932
The Sweet Hereafter,4306697,4306697,,5000000,10/10/1997,1997,0,R,,Fine Line,Based on Book/Short Story,Drama,Contemporary Fiction,Atom Egoyan,100,7.8,16280
Boogie Nights,26410771,43111725,,15000000,10/10/1997,1997,0,R,152,New Line,Original Screenplay,Drama,Historical Fiction,Paul Thomas Anderson,92,7.9,70962
Seven Years in Tibet,37945884,131445884,,70000000,10/10/1997,1997,0,PG-13,139,Sony Pictures,Based on Real Life Events,Drama,Dramatization,Jean-Jacques Annaud,59,6.7,29020
Devil's Advocate,61007424,153007424,,57000000,17/10/1997,1997,0,R,144,Warner Bros.,Based on Book/Short Story,Drama,Contemporary Fiction,Taylor Hackford,,,
I Know What You Did Last Summer,72250091,125250091,,17000000,17/10/1997,1997,0,R,101,Sony Pictures,Based on Book/Short Story,Horror,Contemporary Fiction,,36,5.4,36807
Gattaca,12532777,12532777,,36000000,24/10/1997,1997,0,PG-13,,Sony Pictures,Original Screenplay,Drama,Science Fiction,Andrew Niccol,82,7.8,70906
Critical Care,220175,220175,,12000000,31/10/1997,1997,0,R,,,,,,Sidney Lumet,53,6,895
Switchback,6504442,6504442,,38000000,31/10/1997,1997,0,R,,Paramount Pictures,Original Screenplay,Action,Contemporary Fiction,,32,6.1,5141
Eve's Bayou,14843425,14843425,,5000000,07/11/1997,1997,0,R,109,Trimark,Original Screenplay,Drama,Historical Fiction,Kasi Lemmons,80,7,4509
Mad City,10561038,10561038,,50000000,07/11/1997,1997,0,PG-13,,Warner Bros.,Original Screenplay,Drama,Contemporary Fiction,Costa-Gavras,37,6.1,9611
Starship Troopers,54768952,121100000,,100000000,07/11/1997,1997,0,R,129,Sony Pictures,Based on Book/Short Story,Action,Science Fiction,Paul Verhoeven,60,7.1,83516
Anastasia,58403409,139801410,,53000000,14/11/1997,1997,0,G,94,20th Century Fox,Based on Book/Short Story,Musical,Factual,Don Bluth,85,6.6,16513
The Jackal,54956941,159356941,,60000000,14/11/1997,1997,0,R,124,Universal,Remake,Thriller/Suspense,Contemporary Fiction,Michael Caton-Jones,12,6,35540
The Man Who Knew Too Little,13801755,13801755,,20000000,14/11/1997,1997,0,PG,,Warner Bros.,Based on Book/Short Story,Comedy,Contemporary Fiction,Jon Amiel,40,6.3,11307
Midnight in the Garden of Good and Evil,25078937,25078937,,35000000,21/11/1997,1997,0,R,155,Warner Bros.,Based on Book/Short Story,Drama,Contemporary Fiction,Clint Eastwood,50,6.5,18960
Mortal Kombat: Annihilation,35927406,51327406,,30000000,21/11/1997,1997,0,PG-13,91,New Line,Based on Game,Action,Fantasy,,7,3.2,16672
The Rainmaker,45916769,45916769,,40000000,21/11/1997,1997,0,PG-13,135,Paramount Pictures,Based on Book/Short Story,Drama,Contemporary Fiction,Francis Ford Coppola,84,6.9,20514
Alien: Resurrection,47795018,160700000,,60000000,26/11/1997,1997,0,R,108,20th Century Fox,Original Screenplay,Action,Science Fiction,Jean-Pierre Jeunet,,6.2,66141
Flubber,92993801,177993801,,80000000,26/11/1997,1997,0,PG,93,Walt Disney Pictures,Remake,Comedy,Kids Fiction,Les Mayfield,17,4.6,18890
Amistad,44212592,44212592,,40000000,12/12/1997,1997,0,R,152,Dreamworks SKG,Based on Real Life Events,Drama,Dramatization,Steven Spielberg,77,7.1,28477
Deconstructing Harry,10686841,10686841,,20000000,12/12/1997,1997,0,R,,Fine Line,Original Screenplay,Romantic Comedy,Contemporary Fiction,Woody Allen,70,7.2,16820
Scream 2,101363301,101363301,,24000000,12/12/1997,1997,0,R,120,Miramax,Original Screenplay,Horror,Contemporary Fiction,Wes Craven,80,5.9,48196
The Apostle,20733485,21277770,,5000000,17/12/1997,1997,0,PG-13,148,October Films,Original Screenplay,Drama,Contemporary Fiction,Robert Duvall,91,7.1,7757
Mouse Hunt,61894591,61894591,,38000000,19/12/1997,1997,0,PG,95,Dreamworks SKG,Original Screenplay,Comedy,Kids Fiction,Gore Verbinski,,6.1,14934
Titanic,600788188,1842879955,,200000000,19/12/1997,1997,0,PG-13,194,Paramount Pictures,Original Screenplay,Thriller/Suspense,Historical Fiction,James Cameron,82,7.4,240732
Tomorrow Never Dies,125304276,339504276,,110000000,19/12/1997,1997,0,PG-13,119,MGM,Based on Book/Short Story,Action,Contemporary Fiction,Roger Spottiswoode,55,6.4,46650
As Good as it Gets,148478011,314111923,,50000000,24/12/1997,1997,0,PG-13,138,Sony Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,James L. Brooks,85,7.8,92240
Jackie Brown,39673162,72673162,,12000000,25/12/1997,1997,0,R,154,Miramax,Based on Book/Short Story,Drama,Contemporary Fiction,Quentin Tarantino,85,7.6,84068
Kundun,5686694,5686694,,28000000,25/12/1997,1997,0,PG-13,,Walt Disney Pictures,Original Screenplay,Drama,Dramatization,Martin Scorsese,76,7,10248
The Postman,17650704,17650704,,80000000,25/12/1997,1997,0,R,177,Warner Bros.,Based on Book/Short Story,Action,Science Fiction,Kevin Costner,10,5.5,24045
Wag the Dog,43057470,64252038,,15000000,25/12/1997,1997,0,R,120,New Line,Based on Book/Short Story,Drama,Contemporary Fiction,Barry Levinson,84,7,36092
Oscar and Lucinda,1612957,1612957,,12500000,31/12/1997,1997,0,R,,Fox Searchlight,Based on Book/Short Story,Drama,Historical Fiction,,65,6.7,3782
Firestorm,8123860,8123860,,19000000,09/01/1998,1998,0,R,,20th Century Fox,Original Screenplay,Action,Contemporary Fiction,,,4.4,2118
The Dress,16556,16556,,2650000,16/01/1998,1998,0,Not Rated,,Attitude Films,Original Screenplay,Drama,,,,7.6,1844
Half Baked,17394881,17394881,,8000000,16/01/1998,1998,0,R,84,Universal,Original Screenplay,Comedy,Contemporary Fiction,,29,6.3,18791
Hard Rain,19870567,19870567,,70000000,16/01/1998,1998,0,R,96,Paramount Pictures,Original Screenplay,Action,Contemporary Fiction,,26,5.6,14375
Spiceworld,29342592,56042592,,25000000,23/01/1998,1998,0,PG,92,Sony Pictures,Musical Group Movie,Comedy,Contemporary Fiction,,,2.9,18010
Deep Rising,11203026,11203026,,45000000,30/01/1998,1998,0,R,,Walt Disney Pictures,Original Screenplay,Action,Contemporary Fiction,Stephen Sommers,30,5.7,12484
Zero Effect,2080693,2080693,,5000000,30/01/1998,1998,0,R,,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,,66,6.8,8489
The Replacement Killers,19035741,19035741,,30000000,06/02/1998,1998,0,R,86,Sony Pictures,Original Screenplay,Action,Contemporary Fiction,Antoine Fuqua,39,5.9,13905
The Borrowers,22619589,54045832,,29000000,13/02/1998,1998,0,PG,83,Polygram,Based on Book/Short Story,Comedy,Fantasy,Peter Hewitt,,5.6,4340
Hurricane Streets,334041,367582,,500000,13/02/1998,1998,0,,,MGM,,Drama,,,,,
Sphere,37068294,50168294,,73000000,13/02/1998,1998,0,PG-13,132,Warner Bros.,Based on Book/Short Story,Horror,Science Fiction,Barry Levinson,12,5.6,31461
I Love You Ö Don't Touch Me!,33598,33598,,68000,20/02/1998,1998,0,,,MGM,,,,,,5.6,298
An Alan Smithee Film: Burn Hollywood Burn,45779,45779,,10000000,27/02/1998,1998,0,R,,Walt Disney Pictures,Original Screenplay,Comedy,,Arthur Hiller,,3.5,2152
Dark City,14435076,27257061,,27000000,27/02/1998,1998,0,R,,New Line,Original Screenplay,Thriller/Suspense,Fantasy,Alex Proyas,77,7.8,62991
Love and Death on Long Island,2542264,2542264,,4030000,06/03/1998,1998,0,PG-13,,Lionsgate,Based on Book/Short Story,Drama,Contemporary Fiction,,,6.9,2506
The Big Lebowski,17498804,46189568,,15000000,06/03/1998,1998,0,R,127,Gramercy,Original Screenplay,Comedy,Contemporary Fiction,Joel Coen,78,8.2,177960
Twilight,15055091,15055091,,20000000,06/03/1998,1998,0,R,,Paramount Pictures,Original Screenplay,Drama,Contemporary Fiction,,60,6.1,4840
Chairman of the Board,306715,306715,,7000000,13/03/1998,1998,0,PG-13,,Trimark,Original Screenplay,Comedy,Contemporary Fiction,,14,2.1,3164
The Man in the Iron Mask,56968169,56968169,,35000000,13/03/1998,1998,0,PG-13,132,MGM,Based on Book/Short Story,Adventure,Historical Fiction,,31,7.2,561
Madadayo,48856,48856,,11900000,20/03/1998,1998,0,,,WinStar Cinema,Based on Real Life Events,Drama,Dramatization,Akira Kurosawa,,7.4,1748
Mr. Nice Guy,12716953,31716953,,6000000,20/03/1998,1998,0,PG-13,,New Line,Original Screenplay,Action,Contemporary Fiction,Sammo Hung Kam-Bo,,5.2,174
Primary Colors,39017984,39017984,,65000000,20/03/1998,1998,0,R,143,Universal,Based on Book/Short Story,Comedy,Dramatization,Mike Nichols,80,6.7,15340
Wild Things,29795299,55576699,,20000000,20/03/1998,1998,0,R,108,Sony Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,,64,6.6,40110
Karakter,713413,713413,,4500000,27/03/1998,1998,0,R,,Sony Pictures Classics,Based on Book/Short Story,Drama,Historical Fiction,,,7.8,5531
No Looking Back,143273,143273,,5000000,27/03/1998,1998,0,R,,Gramercy,,,,Edward Burns,38,5.7,1145
"Couloirs du temps: Les visiteurs 2, Les",146072,26146072,,20000000,27/03/1998,1998,0,,,,Original Screenplay,Comedy,,,,,
Meet the Deedles,4356126,4356126,,24000000,27/03/1998,1998,0,PG,,Walt Disney Pictures,Original Screenplay,Comedy,Contemporary Fiction,,4,3.4,1379
The Newton Boys,10341093,10341093,,27000000,27/03/1998,1998,0,PG-13,,20th Century Fox,Based on Real Life Events,Drama,Dramatization,Richard Linklater,61,5.7,4443
Barney's Great Adventure,11156471,11156471,,15000000,03/04/1998,1998,0,G,,Polygram,Based on TV,Adventure,Kids Fiction,,,2.1,1456
Lost In Space,69117629,136117629,,80000000,03/04/1998,1998,0,PG-13,131,New Line,Based on TV,Adventure,Science Fiction,Stephen Hopkins,26,4.8,31611
Mercury Rising,32983332,32983332,,60000000,03/04/1998,1998,0,R,112,Universal,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,Harold Becker,17,5.8,21449
The Players Club,23047939,23047939,,5000000,08/04/1998,1998,0,R,104,New Line,Original Screenplay,Drama,Contemporary Fiction,,27,4.8,2072
City of Angels,78750909,198750909,,55000000,10/04/1998,1998,0,PG-13,117,Warner Bros.,Remake,Drama,Fantasy,Brad Silberling,59,6.4,40053
24 7: Twenty Four Seven,72544,72544,,2000000,15/04/1998,1998,0,R,,October Films,Original Screenplay,Comedy,,Shane Meadows,,6.9,1417
The Object of my Affection,29145924,29145924,,15000000,17/04/1998,1998,0,R,112,20th Century Fox,Based on Book/Short Story,Romantic Comedy,Contemporary Fiction,,50,5.9,8492
The Big Hit,27066941,27066941,,13000000,24/04/1998,1998,0,R,91,Sony Pictures,Original Screenplay,Action,Contemporary Fiction,,41,5.8,14157
Two Girls and a Guy,2057193,2315026,,1000000,24/04/1998,1998,0,R,,Fox Searchlight,Original Screenplay,Drama,Contemporary Fiction,James Toback,,5.6,3722
Shooting Fish,302204,302204,,4000000,01/05/1998,1998,0,PG,,Fox Searchlight,,,,,,6.4,4849
"Dancer, Texas Pop. 81",574838,574838,,2300000,01/05/1998,1998,0,PG,,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,,80,,
He Got Game,21567853,21567853,,25000000,01/05/1998,1998,0,R,134,Walt Disney Pictures,Original Screenplay,Drama,Contemporary Fiction,Spike Lee,80,6.8,14494
Deep Impact,140464664,349464664,,80000000,08/05/1998,1998,0,PG-13,120,Paramount Pictures,Original Screenplay,Adventure,Science Fiction,Mimi Leder,47,6,54160
Woo,8064972,8064972,,13000000,08/05/1998,1998,0,R,,New Line,Original Screenplay,Romantic Comedy,Contemporary Fiction,,5,3.4,982
Clockwatchers,444354,444354,,2000000,15/05/1998,1998,0,PG-13,,Artistic License,,,,,,5.9,3171
Bulworth,26528684,29203383,,30000000,15/05/1998,1998,0,R,107,20th Century Fox,Original Screenplay,Comedy,Contemporary Fiction,Warren Beatty,75,6.8,15486
The Horse Whisperer,75383563,75383563,,60000000,15/05/1998,1998,0,PG-13,168,Walt Disney Pictures,Based on Book/Short Story,Drama,Contemporary Fiction,Robert Redford,71,6.3,15831
Quest for Camelot,22772500,38172500,,40000000,15/05/1998,1998,0,G,85,Warner Bros.,Based on Book/Short Story,Adventure,Kids Fiction,,33,5,3053
Godzilla,136314294,376000000,,125000000,19/05/1998,1998,0,PG-13,139,Sony Pictures,Remake,Action,Science Fiction,Roland Emmerich,25,4.8,59455
Fear and Loathing in Las Vegas,10680275,13711903,,18500000,22/05/1998,1998,0,R,,Universal,Based on Book/Short Story,Comedy,Dramatization,Terry Gilliam,47,7.6,81560
I Got the Hook-Up!,10317779,10317779,,3500000,27/05/1998,1998,0,R,,Miramax,Original Screenplay,Comedy,Contemporary Fiction,,17,3.3,985
Hope Floats,60110313,81529000,,30000000,29/05/1998,1998,0,PG-13,114,20th Century Fox,Original Screenplay,Drama,Contemporary Fiction,Forest Whitaker,23,5.3,9168
The Truman Show,125618201,248400000,,60000000,05/06/1998,1998,0,PG,102,Paramount Pictures,Original Screenplay,Drama,Contemporary Fiction,Peter Weir,95,8,156346
The Land Girls,146083,146083,,8000000,12/06/1998,1998,0,R,,Gramercy,,,,,,6.1,1071
Can't Hardly Wait,25358996,25358996,,10000000,12/06/1998,1998,0,PG-13,98,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,,44,6.2,19470
Dirty Work,10020081,10020081,,13000000,12/06/1998,1998,0,PG-13,,MGM,Original Screenplay,Comedy,Contemporary Fiction,,17,4.8,207
"Six Days, Seven Nights",74339294,164800000,,80000000,12/06/1998,1998,0,PG-13,101,Walt Disney Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,Ivan Reitman,37,4.7,48
Hav Plenty,2301777,2301777,,650000,19/06/1998,1998,0,R,,Miramax,Original Screenplay,Comedy,Contemporary Fiction,,,5.6,580
Mulan,120620254,303500000,,90000000,19/06/1998,1998,0,G,88,Walt Disney Pictures,Traditional/Legend/Fairytale,Adventure,Dramatization,,86,7.2,34256
The X Files: Fight the Future,83898313,189176423,,66000000,19/06/1998,1998,0,PG-13,120,20th Century Fox,Based on TV,Action,Science Fiction,,,,
Smoke Signals,6719300,7756617,,2000000,26/06/1998,1998,0,PG-13,,Miramax,Based on Book/Short Story,Comedy,Contemporary Fiction,,86,6.9,5058
Buffalo '66,2380606,2380606,,1500000,26/06/1998,1998,0,R,,Lionsgate,Original Screenplay,Comedy,Contemporary Fiction,Vincent Gallo,78,7.3,17762
Doctor Dolittle,144156605,294156605,,71500000,26/06/1998,1998,0,PG-13,85,20th Century Fox,Remake,Comedy,Kids Fiction,Betty Thomas,,5.2,25648
Out of Sight,37562568,37562568,,48000000,26/06/1998,1998,0,R,129,Universal,Based on Book/Short Story,Drama,Contemporary Fiction,Steven Soderbergh,93,7.1,38263
Armageddon,201578182,554600000,,140000000,01/07/1998,1998,0,PG-13,150,Walt Disney Pictures,Original Screenplay,Adventure,Contemporary Fiction,Michael Bay,42,6.1,194
Pi,3221152,4678513,,68000,10/07/1998,1998,0,R,,Live Entertainment,Original Screenplay,Thriller/Suspense,Science Fiction,Darren Aronofsky,86,7.5,53699
Lethal Weapon 4,130444603,285400000,,140000000,10/07/1998,1998,0,R,127,Warner Bros.,Original Screenplay,Action,Contemporary Fiction,Richard Donner,54,6.4,47846
Small Soldiers,55143823,71743823,,40000000,10/07/1998,1998,0,PG-13,110,Dreamworks SKG,Original Screenplay,Comedy,Kids Fiction,Joe Dante,46,5.9,20571
There's Something About Mary,176484651,360099999,,22000000,15/07/1998,1998,0,R,119,20th Century Fox,Original Screenplay,Romantic Comedy,Contemporary Fiction,Bobby Farrelly,83,7.2,96443
The Mask of Zorro,93828745,233700000,,65000000,17/07/1998,1998,0,PG-13,136,Sony Pictures,Remake,Adventure,Historical Fiction,Martin Campbell,82,6.7,4789
Lolita,1147784,1147784,,55000000,22/07/1998,1998,0,R,,MGM,Based on Book/Short Story,Drama,Historical Fiction,Adrian Lyne,,6.7,15197
Disturbing Behavior,17507368,17507368,,15000000,24/07/1998,1998,0,R,83,MGM,Original Screenplay,Thriller/Suspense,Contemporary Fiction,,30,5.2,9394
Jane Austen's Mafia,19843795,30143795,,10000000,24/07/1998,1998,0,PG-13,83,Walt Disney Pictures,Original Screenplay,Comedy,Contemporary Fiction,Jim Abrahams,,5,7706
Saving Private Ryan,216335085,481635085,,65000000,24/07/1998,1998,0,R,169,Dreamworks SKG,Original Screenplay,Drama,Historical Fiction,Steven Spielberg,91,8.5,270540
The Negotiator,44705766,49105766,,50000000,29/07/1998,1998,0,R,138,Warner Bros.,Original Screenplay,Action,Contemporary Fiction,F. Gary Gray,81,7.2,46511
Ever After: A Cinderella Story,65705772,65705772,,26000000,31/07/1998,1998,0,PG,122,20th Century Fox,Traditional/Legend/Fairytale,Drama,Historical Fiction,Andy Tennant,,,
Halloween: H2O,55041738,55041738,,17000000,05/08/1998,1998,0,R,85,Miramax,,Horror,Contemporary Fiction,Steve Miner,,,
"First Love, Last Rites",10876,10876,,300000,07/08/1998,1998,0,R,,Strand,,Drama,,,,6.9,207
Safe Men,21210,21210,,1000000,07/08/1998,1998,0,R,,October Films,,,,,58,5.9,1743
Snake Eyes,55591409,103891409,,73000000,07/08/1998,1998,0,R,99,Paramount Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Brian De Palma,41,5.8,29321
La femme de chambre du Titanic,244465,244465,,10000000,14/08/1998,1998,0,,,MGM,Based on Book/Short Story,Drama,Historical Fiction,,,6.8,822
The Avengers,23385416,48585416,,60000000,14/08/1998,1998,0,PG-13,91,Warner Bros.,Based on TV,Action,Contemporary Fiction,,15,3.4,21432
Slums of Beverly Hills,5502773,5502773,,5000000,14/08/1998,1998,0,R,,Fox Searchlight,Based on Real Life Events,Comedy,Dramatization,Tamara Jenkins,79,6.4,5821
How Stella Got Her Groove Back,37672944,37672944,,20000000,14/08/1998,1998,0,R,124,20th Century Fox,Based on Book/Short Story,Drama,Contemporary Fiction,,49,5.1,3080
"Next Stop, Wonderland",3386698,3456820,,1000000,21/08/1998,1998,0,R,,Miramax,Original Screenplay,Romantic Comedy,Contemporary Fiction,Brad Anderson,,,
Blade,70141876,131237688,,45000000,21/08/1998,1998,0,R,121,New Line,Based on Comic/Graphic Novel,Action,Super Hero,Stephen Norrington,55,7,64896
Dead Man on Campus,15064948,15064948,,14000000,21/08/1998,1998,0,R,93,Paramount Pictures,Original Screenplay,Black Comedy,Contemporary Fiction,,15,5.6,7109
I Married a Strange Person,203134,203134,,250000,28/08/1998,1998,0,,,Lionsgate,,Comedy,,,,6.8,865
54,16757163,16757163,,13000000,28/08/1998,1998,0,R,92,Miramax,Original Screenplay,Drama,Dramatization,,13,5.6,15023
Knock Off,10319915,10319915,,35000000,04/09/1998,1998,0,R,,Sony Pictures,Original Screenplay,Action,Contemporary Fiction,,8,4.1,5852
Let's Talk About Sex,373615,373615,,300000,11/09/1998,1998,0,,,Fine Line,,Comedy,,,13,,
The Cube,489220,489220,,250000,11/09/1998,1998,0,,,,,,,,,7.1,202
Rounders,22921898,22921898,,12000000,11/09/1998,1998,0,R,120,Miramax,Original Screenplay,Drama,Contemporary Fiction,John Dahl,64,7.3,45439
Simon Birch,18253415,18253415,,20000000,11/09/1998,1998,0,PG,110,Walt Disney Pictures,Based on Book/Short Story,Drama,Contemporary Fiction,Mark Steven Johnson,44,6.7,11371
Without Limits,780326,780326,,25000000,11/09/1998,1998,0,PG-13,,Warner Bros.,Based on Real Life Events,Drama,Dramatization,,78,6.9,3369
Six-String Samurai,134624,134624,,2000000,18/09/1998,1998,0,PG-13,,Palm Pictures,,,,,60,6.4,3462
One True Thing,23337196,26708196,,30000000,18/09/1998,1998,0,R,127,Universal,Based on Book/Short Story,Drama,Contemporary Fiction,Carl Franklin,88,6.9,5591
Rush Hour,141186864,245300000,,35000000,18/09/1998,1998,0,PG-13,98,New Line,Original Screenplay,Action,Contemporary Fiction,Brett Ratner,60,6.8,55248
The Last Big Thing,22434,22434,,1000000,25/09/1998,1998,0,R,,Stratosphere Entertainment,,,,,,6,139
Ronin,41610884,41610884,,55000000,25/09/1998,1998,0,R,121,MGM,Original Screenplay,Action,Contemporary Fiction,John Frankenheimer,68,7.2,57484
Urban Legend,38116707,72571864,,14000000,25/09/1998,1998,0,R,100,Sony Pictures,Original Screenplay,Horror,Contemporary Fiction,,21,5.2,19113
A Night at the Roxbury,30331165,30331165,,17000000,02/10/1998,1998,0,PG-13,81,Paramount Pictures,Based on TV,Comedy,Contemporary Fiction,,11,5.7,23259
Antz,90757863,152457863,,60000000,02/10/1998,1998,0,PG,83,Dreamworks SKG,Original Screenplay,Adventure,Kids Fiction,Tim Johnson,95,6.8,37343
What Dreams May Come,55485043,71485043,,80000000,02/10/1998,1998,0,PG-13,113,Polygram,Based on Book/Short Story,Drama,Fantasy,,55,6.6,30486
Slam,1009819,1087521,,1000000,09/10/1998,1998,0,R,,Trimark,Original Screenplay,Drama,Contemporary Fiction,,62,3.4,165
Festen,1647780,1647780,,1300000,09/10/1998,1998,0,R,,October Films,Original Screenplay,Comedy,Contemporary Fiction,Thomas Vinterberg,,8.1,26607
Holy Man,12069719,12069719,,60000000,09/10/1998,1998,0,PG,,Walt Disney Pictures,Original Screenplay,Comedy,Contemporary Fiction,Stephen Herek,12,4.7,9105
Happiness,2746453,5746453,,3000000,16/10/1998,1998,0,Not Rated,,Good Machine Releasing,Original Screenplay,Comedy,Contemporary Fiction,Todd Solondz,84,6.5,64
Beloved,22852487,22852487,,53000000,16/10/1998,1998,0,R,172,Walt Disney Pictures,Based on Book/Short Story,Drama,Historical Fiction,Jonathan Demme,77,5.3,102
Bride of Chucky,32404188,50692188,,25000000,16/10/1998,1998,0,R,89,Universal,Original Screenplay,Horror,Fantasy,Ronny Yu,43,5.3,13735
Practical Magic,46850558,68336997,,60000000,16/10/1998,1998,0,PG-13,105,Warner Bros.,Based on Book/Short Story,Comedy,Fantasy,Griffin Dunne,21,5.5,20196
Orgazmo,582024,627287,,1000000,23/10/1998,1998,0,NC-17,,October Films,Original Screenplay,Comedy,Contemporary Fiction,Trey Parker,,6,15592
Soldier,14623082,14623082,,75000000,23/10/1998,1998,0,R,,Warner Bros.,Original Screenplay,Action,Science Fiction,Paul Anderson,,,
American History X,6719864,6719864,,10000000,30/10/1998,1998,0,R,,New Line,Original Screenplay,Drama,Contemporary Fiction,,83,8.6,224857
Living Out Loud,12905901,12905901,,12000000,30/10/1998,1998,0,R,,New Line,Original Screenplay,Drama,Contemporary Fiction,Richard LaGravenese,58,6.5,3040
Vampires,20268825,20268825,,20000000,30/10/1998,1998,0,R,108,Sony Pictures,Based on Book/Short Story,Horror,Fantasy,John Carpenter,33,6.8,54
Elizabeth,30082699,82150642,,25000000,06/11/1998,1998,0,R,124,Gramercy,Based on Real Life Events,Drama,Dramatization,Shekhar Kapur,81,7.6,33773
Gods and Monsters,6451628,6451628,,3500000,06/11/1998,1998,0,R,,Lionsgate,Based on Book/Short Story,Drama,Historical Fiction,Bill Condon,96,7.5,15946
The Siege,40934175,116625798,,70000000,06/11/1998,1998,0,R,116,20th Century Fox,Original Screenplay,Action,Contemporary Fiction,Edward Zwick,44,,
The Waterboy,161491646,190191646,,23000000,06/11/1998,1998,0,PG-13,86,Walt Disney Pictures,Original Screenplay,Comedy,Contemporary Fiction,Frank Coraci,32,5.7,43251
I Still Know What You Did Last Summer,40020622,40020622,,24000000,13/11/1998,1998,0,R,101,Sony Pictures,Based on Book/Short Story,Horror,Contemporary Fiction,,8,4.1,23268
Meet Joe Black,44650003,44650003,,85000000,13/11/1998,1998,0,PG-13,154,Universal,Original Screenplay,Drama,Fantasy,Martin Brest,50,6.9,56067
Central do Brasil,5969553,17006158,,2900000,20/11/1998,1998,0,R,,Sony Pictures Classics,Original Screenplay,Drama,Contemporary Fiction,Walter Salles,,8,17343
A Bug's Life,162798565,363109485,,45000000,20/11/1998,1998,0,G,96,Walt Disney Pictures,Original Screenplay,Adventure,Fantasy,John Lasseter,91,7.3,56866
Celebrity,5078660,6200000,,12000000,20/11/1998,1998,0,R,,Miramax,Original Screenplay,Comedy,Contemporary Fiction,Woody Allen,41,6.1,10978
Enemy of the State,111549836,250649836,,85000000,20/11/1998,1998,0,R,127,Walt Disney Pictures,Original Screenplay,Action,Contemporary Fiction,Tony Scott,70,7.2,66700
The Rugrats Movie,100494685,140894685,,28000000,20/11/1998,1998,0,G,79,Paramount Pictures,Based on TV,Adventure,Kids Fiction,,57,5.4,4857
Waking Ned Devine,24793251,55193251,,3000000,20/11/1998,1998,0,PG,91,20th Century Fox,Original Screenplay,Comedy,Contemporary Fiction,,82,,
Babe: Pig in the City,18319860,69131860,,80000000,25/11/1998,1998,0,G,75,Universal,Based on Book/Short Story,Adventure,Kids Fiction,George Miller,61,6.1,9918
Home Fries,10513979,10513979,,15000000,25/11/1998,1998,0,PG-13,,Warner Bros.,Original Screenplay,Black Comedy,Contemporary Fiction,,31,4.7,4806
Little Voice,4595000,4595000,,6000000,04/12/1998,1998,0,R,,Miramax,Based on Play,Musical,Contemporary Fiction,,83,6.9,8453
Psycho,21541218,37226218,,20000000,04/12/1998,1998,0,R,100,Universal,Remake,Horror,Contemporary Fiction,Gus Van Sant,35,4.5,19769
A Simple Plan,16316273,16316273,,17000000,11/12/1998,1998,0,R,121,Paramount Pictures,Based on Book/Short Story,Drama,Contemporary Fiction,Sam Raimi,90,7.6,29095
Jack Frost,34645374,34645374,,50000000,11/12/1998,1998,0,PG,95,Warner Bros.,Original Screenplay,Comedy,Fantasy,,15,4.6,6932
Rushmore,17105219,19080435,,10000000,11/12/1998,1998,0,R,89,Walt Disney Pictures,Original Screenplay,Black Comedy,Contemporary Fiction,Wes Anderson,87,7.8,53192
