Title,US Gross,Worldwide Gross,US DVD Sales,Production Budget,Release Date,Release Year,Recession data,MPAA Rating,Running Time (min),Distributor,Source,Major Genre,Creative Type,Director,Rotten Tomatoes Rating,IMDB Rating,IMDB Votes
Young Frankenstein,86300000,86300000,15500333,2800000,15/12/1974,1974,1,,,20th Century Fox,,,,Mel Brooks,93,8,57106
The Front Page,15000000,15000000,,4000000,17/12/1974,1974,1,,,Universal,Based on Play,Comedy,Contemporary Fiction,Billy Wilder,67,7.2,3875
Towering Inferno,116000000,139700000,,14000000,17/12/1974,1974,1,,,20th Century Fox,,,,John Guillermin,,,
The Man with the Golden Gun,21000000,97600000,,7000000,20/12/1974,1974,1,,,MGM,Based on Book/Short Story,Action,,Guy Hamilton,52,6.7,22431
Monty Python and the Holy Grail,3427696,5028948,,400000,10/05/1975,1975,0,,,,,,,,,8.4,155049
Love and Death,20123742,20123742,,3000000,10/06/1975,1975,0,,,MGM,Original Screenplay,Comedy,,Woody Allen,100,7.6,12111
Jaws,260000000,470700000,,12000000,20/06/1975,1975,0,PG,,Universal,Based on Book/Short Story,Horror,Contemporary Fiction,Steven Spielberg,100,8.3,138017
The Rocky Horror Picture Show,139876417,139876417,,1200000,26/09/1975,1975,0,,,20th Century Fox,,Musical,,,77,7.1,41265
One Flew Over the Cuckoo's Nest,108981275,108981275,,4400000,19/11/1975,1975,0,,,MGM,Based on Book/Short Story,,,Milos Forman,96,8.9,214457
Barry Lyndon,20000000,20000000,,11000000,18/12/1975,1975,0,,,Warner Bros.,Based on Book/Short Story,Drama,,Stanley Kubrick,94,8.1,39909
Taxi Driver,21100000,21100000,,1000000,08/02/1976,1976,0,,,Sony Pictures,Original Screenplay,Drama,Contemporary Fiction,Martin Scorsese,98,8.6,155774
Robin and Marian,8000000,8000000,,5000000,11/03/1976,1976,0,,,,,,,,68,6.5,4800
The Blue Bird,887000,887000,,1200000,05/04/1976,1976,0,,,20th Century Fox,Based on Play,,Fantasy,George Cukor,,4.9,359
Family Plot,13200000,13200000,,3000000,09/04/1976,1976,0,,,Universal,,,,Alfred Hitchcock,95,6.8,7290
Logan's Run,25000000,25000000,,7000000,23/06/1976,1976,1,,,,,,Science Fiction,,70,6.7,14947
The Omen,48570885,48570885,,2800000,25/06/1976,1976,1,,,20th Century Fox,Original Screenplay,Horror,,Richard Donner,84,5.4,24523
Silent Movie,36145695,36145695,,4400000,25/06/1976,1976,1,,,20th Century Fox,Original Screenplay,Comedy,,Mel Brooks,89,6.4,6248
Carrie,25878153,25878153,,1800000,16/11/1976,1976,1,,,MGM,Based on Book/Short Story,Horror,Contemporary Fiction,Brian De Palma,90,7.4,38767
Rocky,117235147,225000000,,1000000,21/11/1976,1976,1,,,MGM,,,,John G. Avildsen,,4,84
King Kong,52614445,90614445,,23000000,17/12/1976,1976,1,,,,,,,John Guillermin,46,7.6,132720
Eraserhead,7000000,7000000,,100000,19/03/1977,1977,1,,,,,,,David Lynch,90,7.4,26595
Annie Hall,38251425,38251425,,4000000,20/04/1977,1977,1,,,MGM,Original Screenplay,Comedy,,Woody Allen,98,8.2,65406
Star Wars Ep. IV: A New Hope,460998007,797900000,11182540,11000000,25/05/1977,1977,1,PG,,20th Century Fox,Original Screenplay,Adventure,Science Fiction,George Lucas,,,
A Bridge Too Far,50800000,50800000,,26000000,15/06/1977,1977,1,,,MGM,Based on Book/Short Story,Action,,Sir Richard Attenborough,67,7.3,16882
Exorcist II: The Heretic,25011000,25011000,,14000000,17/06/1977,1977,1,,,,,Horror,,John Boorman,,3.5,7849
"New York, New York",13800000,13800000,,14000000,22/06/1977,1977,1,,,MGM,Original Screenplay,Musical,,Martin Scorsese,63,6.7,1692
The Sorcerer,12000000,12000000,,21600000,24/06/1977,1977,1,,,,,,,William Friedkin,,6.8,563
The Spy Who Loved Me,46800000,185400000,,14000000,13/07/1977,1977,1,,,MGM,Based on Book/Short Story,Action,Contemporary Fiction,,78,7.1,24938
March or Die,1000000,1000000,,7000000,05/08/1977,1977,0,,,Sony Pictures,,,,,,6.1,1233
The Kentucky Fried Movie,15000000,20000000,,600000,10/08/1977,1977,0,,,United Film Distribution Co.,Original Screenplay,Comedy,,John Landis,77,6.4,8342
